epoch,loss,accuracy,meanmetric,recall,specificity
1,0.6578646302223206,0.6266292333602905,0.6269765645265579,0.6280451416969299,0.6259079873561859
2,0.5858205556869507,0.6944054961204529,0.6957632601261139,0.69994056224823,0.6915859580039978
3,0.4981726109981537,0.7708041071891785,0.7644981816411018,0.7450980544090271,0.7838983088731766
4,0.4420672655105591,0.8111088871955872,0.8022036999464035,0.7748069167137146,0.8296004831790924
5,0.39846906065940857,0.8287547826766968,0.8228087052702904,0.8045157194137573,0.8411016911268234
6,0.38351041078567505,0.8363745808601379,0.8298711329698563,0.8098633289337158,0.8498789370059967
7,0.36655426025390625,0.8474032878875732,0.8399434685707092,0.8169934749603271,0.8628934621810913
8,0.3576778769493103,0.8502105474472046,0.8445399850606918,0.8270944952964783,0.8619854748249054
9,0.307565838098526,0.875877320766449,0.8709067553281784,0.855614960193634,0.8861985504627228
10,0.31137779355049133,0.8754762411117554,0.869729544967413,0.8520498871803284,0.8874092027544975
11,0.2932804822921753,0.8849007487297058,0.8793200068175793,0.8621509075164795,0.896489106118679
12,0.29949843883514404,0.8722679018974304,0.8670167326927185,0.8508615493774414,0.8831719160079956
13,0.2845175266265869,0.8903148174285889,0.8831144571304321,0.8609625697135925,0.9052663445472717
14,0.280617356300354,0.8881090879440308,0.8831989020109177,0.8680927157402039,0.8983050882816315
15,0.2627203166484833,0.8963304758071899,0.8920271098613739,0.8787878751754761,0.9052663445472717
16,0.2625630795955658,0.8961299657821655,0.8924588188529015,0.8811646103858948,0.9037530273199081
17,0.2563241422176361,0.8995388150215149,0.8943026475608349,0.8781936764717102,0.9104116186499596
18,0.24310846626758575,0.9065570831298828,0.9014941193163395,0.8859180212020874,0.9170702174305916
19,0.23188605904579163,0.910366952419281,0.9056812115013599,0.8912655711174011,0.9200968518853188
20,0.22021502256393433,0.9177862405776978,0.9144871346652508,0.904337465763092,0.9246368035674095
21,0.2415705770254135,0.901744544506073,0.8969876132905483,0.8823529481887817,0.9116222783923149
22,0.22048938274383545,0.9177862405776978,0.9136126190423965,0.9007724523544312,0.9264527857303619
23,0.21259939670562744,0.9183878302574158,0.914503887295723,0.902554988861084,0.9264527857303619
24,0.20978094637393951,0.9167836904525757,0.9125644229352474,0.8995840549468994,0.9255447909235954
25,0.21251556277275085,0.9181873202323914,0.9147897996008396,0.904337465763092,0.9252421334385872
26,0.2018464207649231,0.9232003688812256,0.9193019010126591,0.9073083996772766,0.9312954023480415
27,0.20304575562477112,0.9205935597419739,0.9163142740726471,0.9031491279602051,0.9294794201850891
28,0.17993809282779694,0.9312211871147156,0.9288533218204975,0.9215686321258545,0.9361380115151405
29,0.19667881727218628,0.9278123378753662,0.9245315901935101,0.9144384860992432,0.934624694287777
30,0.18170425295829773,0.9360337257385254,0.9319022446870804,0.9191918969154358,0.944612592458725
31,0.18585512042045593,0.9296170473098755,0.9272053949534893,0.9197860956192017,0.934624694287777
32,0.18545109033584595,0.9298175573348999,0.9267736859619617,0.917409360408783,0.9361380115151405
33,0.1754484623670578,0.9356326460838318,0.9336401782929897,0.9275103807449341,0.9397699758410454
34,0.17205333709716797,0.9362342357635498,0.9332196265459061,0.9239453077316284,0.9424939453601837
35,0.1737401783466339,0.9350311160087585,0.9314371198415756,0.9203802943229675,0.9424939453601837
36,0.17661434412002563,0.9348306059837341,0.9318687990307808,0.9227569699287415,0.9409806281328201
37,0.16040216386318207,0.9398435950279236,0.9363808706402779,0.9257278442382812,0.9470338970422745
38,0.17732873558998108,0.9354321360588074,0.9320312887430191,0.9215686321258545,0.9424939453601837
39,0.16317680478096008,0.9366352558135986,0.9341053310781717,0.9263220429420471,0.9418886192142963
40,0.17154954373836517,0.9362342357635498,0.9336569011211395,0.9257278442382812,0.9415859580039978
41,0.16488872468471527,0.9378383755683899,0.9348675534129143,0.9257278442382812,0.9440072625875473
42,0.1431693285703659,0.9514738321304321,0.9495308119803667,0.9435531497001648,0.9555084742605686
43,0.15709300339221954,0.9434530138969421,0.9411454405635595,0.9340463280677795,0.9482445530593395
44,0.14379942417144775,0.9500702023506165,0.9464309215545654,0.9352347254753113,0.9576271176338196
45,0.15536345541477203,0.9402446746826172,0.9384326264262199,0.9328579902648926,0.9440072625875473
46,0.1408402919769287,0.9510728120803833,0.9490824099630117,0.9429590106010437,0.9552058093249798
47,0.15104342997074127,0.9420493245124817,0.9396488443017006,0.9322637915611267,0.9470338970422745
48,0.16288334131240845,0.9410467743873596,0.9384549129754305,0.9304812550544739,0.9464285708963871
49,0.14449088275432587,0.9426509141921997,0.9392283242195845,0.9286987781524658,0.9497578702867031
50,0.14250534772872925,0.9486665725708008,0.9468291569501162,0.9411764740943909,0.9524818398058414
51,0.14234520494937897,0.9496691823005676,0.9480230882763863,0.9429590106010437,0.9530871659517288
52,0.17253272235393524,0.9342290163040161,0.9303945209830999,0.9185977578163147,0.9421912841498852
53,0.14179721474647522,0.9458592534065247,0.9435444623231888,0.9364230632781982,0.9506658613681793
54,0.14094197750091553,0.9512733221054077,0.9489422366023064,0.9417706727981567,0.956113800406456
55,0.14520445466041565,0.9478644728660583,0.9452035166323185,0.9370172023773193,0.9533898308873177
56,0.13869121670722961,0.9506717920303345,0.9474679287523031,0.9376114010810852,0.957324456423521
57,0.141269251704216,0.9490675926208496,0.946548780426383,0.9387997388839722,0.9542978219687939
58,0.14457525312900543,0.9454582333564758,0.9435333032160997,0.9376114010810852,0.9494552053511143
59,0.13119132816791534,0.9472628831863403,0.9443122781813145,0.9352347254753113,0.9533898308873177
60,0.14598782360553741,0.9440545439720154,0.9418909698724747,0.9352347254753113,0.9485472142696381
61,0.13575813174247742,0.949869692325592,0.9471541065722704,0.9387997388839722,0.9555084742605686
62,0.13823600113391876,0.949268102645874,0.946845879778266,0.939393937587738,0.9542978219687939
63,0.1244354397058487,0.9562863707542419,0.9537458140403032,0.9459298849105835,0.961561743170023
64,0.12596352398395538,0.9564868807792664,0.9541886504739523,0.9471182227134705,0.9612590782344341
65,0.1302700787782669,0.9518749117851257,0.9489589594304562,0.9399881362915039,0.9579297825694084
66,0.1254449486732483,0.9506717920303345,0.9495085254311562,0.9459298849105835,0.9530871659517288
67,0.12260167300701141,0.9550832509994507,0.952837822958827,0.9459298849105835,0.9597457610070705
68,0.13065356016159058,0.9496691823005676,0.9477315824478865,0.9417706727981567,0.9536924920976162
69,0.1277541220188141,0.953078031539917,0.9495754148811102,0.9387997388839722,0.9603510908782482
70,0.11793313175439835,0.9576900005340576,0.9559711869806051,0.9506832957267761,0.9612590782344341
71,0.12308479100465775,0.9602968096733093,0.9589588139206171,0.9548425674438477,0.9630750603973866
72,0.14002834260463715,0.9502707123756409,0.9477483052760363,0.9399881362915039,0.9555084742605686
73,0.11996310949325562,0.9554842710494995,0.9522659406065941,0.9423648118972778,0.9621670693159103
74,0.12407070398330688,0.9556847810745239,0.9530003126710653,0.9447415471076965,0.9612590782344341
75,0.11806803941726685,0.9582915902137756,0.9559879098087549,0.9489007592201233,0.9630750603973866
76,0.13400129973888397,0.9540806412696838,0.9514981247484684,0.9435531497001648,0.959443099796772
77,0.12716235220432281,0.9570884704589844,0.9549341816455126,0.9483066201210022,0.961561743170023
78,0.12184514850378036,0.9556847810745239,0.9537290912121534,0.9477124214172363,0.9597457610070705
79,0.12470729649066925,0.9588931202888489,0.9570249449461699,0.951277494430542,0.9627723954617977
80,0.10966327041387558,0.9612994194030762,0.9589866641908884,0.9518716335296631,0.9661016948521137
81,0.11671169102191925,0.9598957300186157,0.9579273425042629,0.9518716335296631,0.9639830514788628
82,0.11787253618240356,0.9606978297233582,0.9582411628216505,0.9506832957267761,0.9657990299165249
83,0.13779334723949432,0.9488670825958252,0.9477092679589987,0.9441473484039307,0.9512711875140667
84,0.11996469646692276,0.9570884704589844,0.9546426460146904,0.9471182227134705,0.9621670693159103
85,0.11156561225652695,0.9608983397483826,0.9586840011179447,0.9518716335296631,0.9654963687062263
86,0.10214553028345108,0.9663124680519104,0.9643732821568847,0.9584075808525085,0.9703389834612608
87,0.12116758525371552,0.9570884704589844,0.9537681005895138,0.9435531497001648,0.9639830514788628
88,0.10530278831720352,0.9627030491828918,0.9599002487957478,0.951277494430542,0.9685230031609535
89,0.09820611774921417,0.9669139981269836,0.9646815396845341,0.9578134417533875,0.9715496376156807
90,0.111729197204113,0.9612994194030762,0.9589866641908884,0.9518716335296631,0.9661016948521137
91,0.12581172585487366,0.9560858607292175,0.9528657030314207,0.9429590106010437,0.9627723954617977
92,0.10534755140542984,0.9639061689376831,0.9616827853024006,0.9548425674438477,0.9685230031609535
93,0.103851817548275,0.9667134881019592,0.9655504915863276,0.9619726538658142,0.9691283293068409
94,0.10124249756336212,0.9657108783721924,0.9643565602600574,0.9601901173591614,0.9685230031609535
95,0.10106603056192398,0.9637056589126587,0.961822958663106,0.9560309052467346,0.9676150120794773
96,0.11654655635356903,0.9614999294281006,0.9597210362553596,0.9542483687400818,0.9651937037706375
97,0.10956933349370956,0.9619009494781494,0.960169468075037,0.9548425674438477,0.9654963687062263
98,0.10868615657091141,0.9610989093780518,0.9591268673539162,0.9530600309371948,0.9651937037706375
99,0.10815790295600891,0.9625025391578674,0.9597489163279533,0.951277494430542,0.9682203382253647
100,0.10134553164243698,0.9631040692329407,0.9603486498817801,0.9518716335296631,0.9688256662338972
